IntrudersWon,GuardsWon,turnsIntruders,turnsGuards
0,1,898,898
1,0,4320,4319
1,0,1008,1007
1,0,373301,373300
1,0,17501,17500
1,0,17907,17906
1,0,1135,1134
0,1,3289,3289
1,0,1055,1054
1,0,543,542
1,0,51325,51324
1,0,13075,13074
1,0,1663,1662
1,0,4597,4596
1,0,9414,9413
1,0,6537,6536
1,0,1330,1329
0,1,8643,8643
1,0,3259,3258
1,0,3541,3540
1,0,5391,5390
1,0,2135,2134
1,0,6641,6640
1,0,8363,8362
0,1,2250,2250
1,0,12531,12530
1,0,1202592,1202591
1,0,11366,11365
1,0,191929,191928
1,0,6653,6652
1,0,2662,2661
1,0,1152,1151
1,0,3062,3061
1,0,10002,10001
0,1,2240,2240
1,0,5991,5990
1,0,16146,16145
1,0,232157,232156
1,0,619,618
1,0,6313,6312
0,1,873,873
0,1,11315,11315
1,0,3305,3304
1,0,378005,378004
1,0,1175,1174
1,0,3004,3003
1,0,1450,1449
1,0,1614,1613
1,0,3105,3104
1,0,288213,288212
1,0,1814,1813
1,0,695,694
1,0,238393,238392
0,1,2341,2341
1,0,10215,10214
1,0,27105,27104
1,0,17094,17093
1,0,1419,1418
1,0,21299,21298
1,0,2242,2241
1,0,1091,1090
1,0,7516,7515
1,0,11739,11738
1,0,5428,5427
1,0,484913,484912
1,0,5771,5770
1,0,1082,1081
1,0,38560,38559
1,0,14720,14719
1,0,68462,68461
1,0,2687,2686
1,0,5448,5447
1,0,5669,5668
1,0,648,647
1,0,38154,38153
1,0,6646,6645
1,0,101683,101682
1,0,489,488
1,0,66944,66943
1,0,11203,11202
1,0,9355,9354
1,0,2633,2632
1,0,787,786
1,0,6577,6576
0,1,5837,5837
1,0,482,481
1,0,1165,1164
1,0,1215,1214
1,0,2012,2011
1,0,9516,9515
1,0,2634,2633
1,0,1165,1164
1,0,2157,2156
1,0,6667,6666
1,0,1821,1820
1,0,1273,1272
1,0,359,358
1,0,190290,190289
0,1,3817,3817
1,0,7942,7941
1,0,1534,1533
1,0,5712,5711
1,0,55001,55000
1,0,5987,5986
1,0,1552,1551
1,0,646,645
1,0,2228,2227
1,0,25758,25757
1,0,2401,2400
1,0,4329,4328
1,0,4647,4646
0,1,1988,1988
1,0,2793,2792
1,0,2459,2458
1,0,3332,3331
0,1,1340,1340
1,0,1057,1056
1,0,1191,1190
1,0,1745,1744
1,0,5288,5287
1,0,7587,7586
1,0,712,711
0,1,2514,2514
1,0,2061,2060
1,0,10875,10874
1,0,344418,344417
1,0,8753,8752
1,0,7757,7756
1,0,3782,3781
1,0,2122,2121
0,1,2326,2326
1,0,12854,12853
1,0,6305,6304
1,0,3162,3161
1,0,805,804
1,0,74798,74797
1,0,9925,9924
1,0,4949,4948
1,0,6307,6306
1,0,8588,8587
1,0,3980,3979
1,0,1372,1371
1,0,9524,9523
1,0,4746,4745
1,0,837,836
1,0,2138,2137
1,0,4695,4694
1,0,618,617
1,0,815,814
1,0,4218,4217
1,0,10837,10836
1,0,1757,1756
1,0,5296,5295
1,0,7662,7661
1,0,2362,2361
1,0,147951,147950
1,0,5347,5346
1,0,175612,175611
1,0,3291,3290
1,0,1170,1169
1,0,14844,14843
1,0,4589,4588
1,0,292747,292746
1,0,2849,2848
1,0,2421,2420
1,0,1758,1757
1,0,6546,6545
1,0,655,654
1,0,1806,1805
1,0,585,584
1,0,306406,306405
1,0,3539,3538
1,0,409,408
1,0,15504,15503
1,0,943,942
1,0,142508,142507
1,0,6960,6959
1,0,6089,6088
1,0,240615,240614
1,0,10682,10681
1,0,8213,8212
1,0,8953,8952
1,0,5766,5765
1,0,973,972
1,0,17543,17542
1,0,5443,5442
1,0,66322,66321
1,0,2187,2186
1,0,3161,3160
1,0,5670,5669
1,0,3034,3033
1,0,1966,1965
1,0,3807,3806
0,1,398977,398977
1,0,1953,1952
1,0,490349,490348
0,1,5661,5661
1,0,4365,4364
1,0,2355,2354
1,0,71124,71123
