IntrudersWon,GuardsWon,turnsIntruders,turnsGuards
1,0,4472,4471
1,0,487081,487080
1,0,4562,4561
1,0,1814,1813
1,0,2996,2995
1,0,1749,1748
1,0,235768,235767
1,0,15358,15357
1,0,6544,6543
1,0,6806,6805
0,1,1329,1329
1,0,1687,1686
1,0,8931,8930
1,0,9376,9375
0,1,1732,1732
1,0,2456,2455
1,0,714,713
0,1,1909,1909
1,0,1118,1117
1,0,369524,369523
1,0,1339,1338
1,0,2313,2312
1,0,2382,2381
1,0,31848,31847
0,1,4266,4266
0,1,4903,4903
1,0,3651,3650
0,1,2487,2487
1,0,3854,3853
1,0,1506,1505
1,0,3888,3887
1,0,2192,2191
0,1,4122,4122
0,1,1894,1894
1,0,77116,77115
1,0,9530,9529
1,0,94873,94872
1,0,1389,1388
1,0,16500,16499
1,0,1364,1363
1,0,1039,1038
1,0,291849,291848
1,0,3292,3291
0,1,9931,9931
0,1,1531,1531
1,0,4823,4822
1,0,1306,1305
1,0,2012,2011
1,0,416,415
1,0,1267,1266
1,0,5967,5966
1,0,579,578
0,1,4936,4936
1,0,11075,11074
1,0,6779,6778
1,0,20799,20798
0,1,1498,1498
1,0,405461,405460
1,0,593217,593216
1,0,362,361
1,0,1008,1007
1,0,1523,1522
1,0,972,971
0,1,1678,1678
1,0,2788,2787
1,0,678,677
1,0,930,929
1,0,612,611
0,1,1369,1369
1,0,1061,1060
1,0,1260,1259
1,0,521,520
1,0,124295,124294
1,0,55606,55605
0,1,3263,3263
0,1,10645,10645
1,0,2117,2116
1,0,1032,1031
1,0,850,849
1,0,567,566
0,1,501058,501058
0,1,4269,4269
0,1,1935,1935
1,0,2647,2646
1,0,2034,2033
1,0,696,695
0,1,1004,1004
1,0,17589,17588
0,1,3978,3978
1,0,805,804
0,1,828,828
0,1,1509,1509
1,0,41709,41708
1,0,4844,4843
0,1,13036,13036
1,0,6919,6918
1,0,8451,8450
1,0,10602,10601
1,0,9352,9351
1,0,1655,1654
1,0,552,551
1,0,3010,3009
0,1,3221,3221
1,0,4208,4207
0,1,1518,1518
0,1,2837,2837
0,1,2556,2556
0,1,6312,6312
1,0,1077,1076
1,0,539,538
1,0,1023,1022
1,0,3534,3533
0,1,1995,1995
1,0,1464,1463
1,0,307303,307302
1,0,1495,1494
1,0,7865,7864
0,1,5506,5506
1,0,971,970
1,0,2900,2899
1,0,3162,3161
1,0,1637,1636
1,0,1528,1527
1,0,433,432
1,0,3025,3024
0,1,7159,7159
1,0,961,960
1,0,860,859
1,0,4171,4170
1,0,1159,1158
1,0,8620,8619
1,0,510,509
1,0,824,823
1,0,647,646
1,0,4453,4452
1,0,750535,750534
0,1,1173,1173
1,0,11985,11984
0,1,1878,1878
1,0,179163,179162
1,0,705,704
1,0,2264,2263
1,0,6848,6847
1,0,3303,3302
1,0,516,515
1,0,1344,1343
1,0,30625,30624
0,1,8114,8114
1,0,5338,5337
1,0,10031,10030
1,0,12003,12002
0,1,1933,1933
1,0,6265,6264
1,0,6499,6498
0,1,1658,1658
1,0,3724,3723
0,1,2615,2615
1,0,6223,6222
1,0,1500,1499
1,0,2397,2396
1,0,2671,2670
1,0,1875,1874
1,0,2459,2458
0,1,2992,2992
0,1,1709,1709
1,0,3706,3705
1,0,3929,3928
1,0,4033,4032
1,0,98002,98001
1,0,1869,1868
0,1,152205,152205
1,0,1115,1114
0,1,1472,1472
1,0,18072,18071
1,0,583214,583213
1,0,685,684
1,0,1136,1135
0,1,2684,2684
1,0,4070,4069
1,0,1306,1305
1,0,9615,9614
1,0,3874,3873
1,0,100935,100934
0,1,110639,110639
1,0,2719,2718
0,1,1617,1617
1,0,13575,13574
1,0,3674,3673
1,0,329206,329205
1,0,1025,1024
1,0,4658,4657
1,0,12514,12513
1,0,504085,504084
1,0,6320,6319
1,0,1477,1476
1,0,2810,2809
1,0,87319,87318
0,1,3544,3544
1,0,787,786
0,1,988,988
