IntrudersWon,GuardsWon,turnsIntruders,turnsGuards
1,0,1349,1348
0,1,2244,2244
0,1,3433,3433
0,1,2494,2494
1,0,2112,2111
1,0,5079,5078
1,0,4896,4895
1,0,7356,7355
1,0,462,461
0,1,1728,1728
1,0,3766,3765
0,1,776,776
1,0,2983,2982
1,0,6433,6432
1,0,4668,4667
0,1,3807,3807
1,0,671,670
1,0,7870,7869
1,0,2710,2709
1,0,930,929
1,0,3826,3825
1,0,7475,7474
1,0,7887,7886
0,1,7359,7359
1,0,4153,4152
1,0,3024,3023
1,0,3133,3132
1,0,2648,2647
0,1,1498,1498
1,0,1172809,1172808
1,0,96579,96578
1,0,5673,5672
1,0,2443,2442
0,1,2975,2975
1,0,467,466
1,0,3735,3734
1,0,2716,2715
1,0,5792,5791
1,0,670,669
1,0,303111,303110
1,0,2264,2263
1,0,38941,38940
1,0,2497,2496
1,0,3877,3876
0,1,1745,1745
0,1,4070,4070
1,0,14056,14055
0,1,1177,1177
1,0,1184,1183
1,0,946,945
1,0,1361,1360
1,0,46538,46537
0,1,219738,219738
1,0,725,724
1,0,3555,3554
1,0,17930,17929
1,0,5033,5032
0,1,2479,2479
1,0,5004,5003
1,0,72965,72964
1,0,6154,6153
1,0,8064,8063
0,1,6059,6059
0,1,1179,1179
1,0,1029,1028
0,1,934,934
1,0,513,512
1,0,6721,6720
1,0,1605,1604
0,1,607,607
1,0,4509,4508
1,0,377,376
1,0,1228,1227
0,1,617655,617655
1,0,1507,1506
1,0,857846,857845
1,0,6143,6142
1,0,2555,2554
1,0,8033,8032
0,1,1016,1016
1,0,5564,5563
1,0,9783,9782
0,1,7473,7473
1,0,3569,3568
0,1,11824,11824
1,0,9658,9657
0,1,6394,6394
1,0,273774,273773
1,0,1630,1629
1,0,393209,393208
1,0,1754,1753
0,1,1227,1227
1,0,982037,982036
1,0,3898,3897
1,0,1111,1110
1,0,1880,1879
1,0,17193,17192
0,1,11614,11614
1,0,81220,81219
1,0,802,801
1,0,388,387
1,0,2095,2094
0,1,4983,4983
1,0,7551,7550
1,0,1440,1439
1,0,1679,1678
1,0,8914,8913
1,0,1055,1054
1,0,670131,670130
1,0,2976,2975
1,0,5710,5709
1,0,696,695
1,0,3031,3030
1,0,1072,1071
1,0,208853,208852
0,1,4698,4698
1,0,1431,1430
1,0,65716,65715
0,1,3454,3454
1,0,6730,6729
1,0,6116,6115
1,0,8530,8529
1,0,7191,7190
1,0,3063,3062
0,1,3824,3824
1,0,7338,7337
0,1,2205,2205
1,0,1621,1620
1,0,5888,5887
1,0,2070,2069
1,0,1709,1708
1,0,1764,1763
0,1,826,826
1,0,3559,3558
1,0,2197,2196
0,1,2692,2692
0,1,1645,1645
1,0,4090,4089
1,0,1683,1682
0,1,1487,1487
0,1,5906,5906
1,0,4775,4774
1,0,3856,3855
1,0,1428,1427
1,0,5139,5138
0,1,8642,8642
0,1,2763,2763
1,0,795,794
1,0,1059,1058
1,0,1513,1512
0,1,2534,2534
1,0,844,843
0,1,407050,407050
1,0,5624,5623
1,0,18579,18578
1,0,1101,1100
1,0,296647,296646
0,1,494740,494740
1,0,584,583
1,0,570,569
1,0,12673,12672
1,0,1477,1476
1,0,5228,5227
1,0,546384,546383
1,0,33130,33129
1,0,1269,1268
1,0,3218,3217
0,1,140876,140876
0,1,4051,4051
1,0,790,789
1,0,1917,1916
1,0,19071,19070
0,1,3544,3544
1,0,2491,2490
0,1,2199,2199
1,0,6231,6230
0,1,592,592
1,0,7365,7364
0,1,2459,2459
0,1,777,777
1,0,2969,2968
1,0,24903,24902
1,0,78575,78574
0,1,16390,16390
1,0,1202,1201
1,0,1086,1085
1,0,49509,49508
1,0,13131,13130
0,1,2556,2556
1,0,12084,12083
1,0,487215,487214
1,0,3515,3514
1,0,4463,4462
1,0,2812,2811
1,0,4412,4411
1,0,4855,4854
1,0,6161,6160
1,0,240355,240354
1,0,1656,1655
1,0,4682,4681
