IntrudersWon,GuardsWon,turnsIntruders,turnsGuards
1,0,2194,2193
1,0,9010,9009
1,0,617,616
1,0,13613,13612
1,0,805,804
1,0,6001,6000
1,0,2607,2606
1,0,3272,3271
1,0,4227,4226
1,0,4583,4582
1,0,2889,2888
1,0,3763,3762
1,0,12704,12703
1,0,712,711
1,0,1112,1111
1,0,658386,658385
1,0,1654,1653
1,0,5145,5144
1,0,3568,3567
1,0,4963,4962
1,0,2107,2106
1,0,5471,5470
1,0,9488,9487
1,0,7690,7689
1,0,1748,1747
1,0,1924,1923
1,0,561,560
1,0,155554,155553
1,0,5372,5371
1,0,791,790
0,1,727884,727884
1,0,4946,4945
1,0,1864,1863
1,0,2577,2576
1,0,908,907
1,0,3771,3770
1,0,5214,5213
0,1,14493,14493
1,0,10852,10851
1,0,147722,147721
1,0,4092,4091
1,0,6053,6052
1,0,7446,7445
1,0,3573,3572
1,0,26627,26626
1,0,7111,7110
1,0,879,878
1,0,874,873
1,0,8327,8326
1,0,2752,2751
1,0,886,885
1,0,10169,10168
1,0,1026,1025
1,0,2344,2343
1,0,674,673
1,0,574838,574837
1,0,3953,3952
1,0,1653,1652
1,0,4780,4779
0,1,7283,7283
1,0,7911,7910
1,0,4245,4244
1,0,2045,2044
1,0,8996,8995
1,0,6673,6672
1,0,2223,2222
1,0,20990,20989
1,0,7637,7636
1,0,1801,1800
1,0,695,694
1,0,6433,6432
1,0,6926,6925
1,0,76669,76668
1,0,493,492
1,0,1807,1806
1,0,9867,9866
1,0,187738,187737
1,0,2656,2655
1,0,1246,1245
1,0,4439,4438
1,0,842,841
1,0,364,363
1,0,8734,8733
1,0,756,755
1,0,1160,1159
1,0,789,788
1,0,8520,8519
1,0,431450,431449
1,0,1953,1952
1,0,1555,1554
1,0,9116,9115
1,0,19331,19330
1,0,1230,1229
1,0,1769,1768
1,0,4763,4762
1,0,3951,3950
1,0,1212,1211
1,0,1166,1165
1,0,494,493
1,0,10319,10318
1,0,4733,4732
1,0,3969,3968
1,0,366043,366042
1,0,4826,4825
1,0,12215,12214
1,0,2819,2818
1,0,1865,1864
1,0,3333,3332
1,0,2195,2194
1,0,6582,6581
1,0,5229,5228
1,0,7101,7100
1,0,480,479
1,0,3160,3159
1,0,99314,99313
1,0,1492,1491
1,0,17468,17467
1,0,1502,1501
1,0,227271,227270
1,0,6623,6622
1,0,6728,6727
1,0,3267,3266
1,0,29545,29544
1,0,526,525
1,0,2632,2631
1,0,3109,3108
1,0,2342,2341
1,0,6446,6445
1,0,1975,1974
1,0,1890,1889
1,0,699,698
1,0,4636,4635
1,0,9802,9801
1,0,11319,11318
1,0,14824,14823
1,0,4913,4912
1,0,15011,15010
1,0,5923,5922
1,0,6475,6474
1,0,1404,1403
1,0,117769,117768
1,0,1817,1816
1,0,998,997
1,0,22210,22209
1,0,6788,6787
1,0,1171,1170
1,0,422,421
1,0,723,722
1,0,6749,6748
1,0,617739,617738
1,0,1739,1738
1,0,959,958
1,0,14690,14689
1,0,827,826
1,0,1434,1433
1,0,8491,8490
1,0,6426,6425
1,0,2890,2889
1,0,189831,189830
1,0,3204,3203
1,0,651,650
1,0,21461,21460
1,0,4999,4998
1,0,1041,1040
1,0,3146,3145
1,0,13144,13143
1,0,2857,2856
1,0,748,747
1,0,431496,431495
1,0,401024,401023
1,0,4005,4004
0,1,12028,12028
1,0,1333,1332
1,0,4672,4671
1,0,2696,2695
1,0,7141,7140
0,1,13521,13521
1,0,6128,6127
1,0,17575,17574
1,0,2168,2167
1,0,3131,3130
1,0,1255,1254
1,0,233856,233855
1,0,213681,213680
1,0,3614,3613
1,0,2103,2102
1,0,460,459
1,0,1360,1359
1,0,95697,95696
1,0,7530,7529
1,0,6233,6232
1,0,1654,1653
1,0,1546,1545
1,0,2222,2221
1,0,3307,3306
1,0,1764,1763
1,0,806,805
1,0,5266,5265
1,0,1194,1193
1,0,4018,4017
