IntrudersWon,GuardsWon,turnsIntruders,turnsGuards
1,0,246845,246844
0,1,1484,1484
1,0,665,664
1,0,1543,1542
1,0,2874,2873
0,1,1054,1054
1,0,4684,4683
1,0,2289,2288
1,0,1118,1117
1,0,223692,223691
1,0,4400,4399
1,0,1406,1405
1,0,2266,2265
0,1,5499,5499
1,0,4836,4835
1,0,1184,1183
0,1,1829,1829
0,1,2140,2140
1,0,1645,1644
1,0,931,930
1,0,1313,1312
1,0,2283,2282
1,0,7436,7435
1,0,8264,8263
1,0,3163,3162
1,0,376,375
1,0,559926,559925
1,0,2024,2023
0,1,463722,463722
1,0,36949,36948
0,1,9452,9452
1,0,1529,1528
1,0,1189,1188
0,1,4196,4196
1,0,6435,6434
1,0,1180,1179
1,0,1082,1081
1,0,5312,5311
0,1,3748,3748
1,0,1257,1256
0,1,4852,4852
1,0,1330,1329
0,1,752,752
1,0,1718,1717
1,0,2997,2996
1,0,1525,1524
1,0,794,793
1,0,3752,3751
1,0,42106,42105
1,0,4648,4647
1,0,20083,20082
1,0,2814,2813
0,1,3058,3058
1,0,3945,3944
1,0,2763,2762
0,1,3872,3872
1,0,2411,2410
1,0,4079,4078
1,0,59329,59328
1,0,5124,5123
0,1,3890,3890
1,0,14957,14956
1,0,2436,2435
0,1,5216,5216
1,0,218232,218231
1,0,3780,3779
0,1,12994,12994
1,0,246479,246478
1,0,7168,7167
0,1,1554,1554
1,0,4745,4744
1,0,1446,1445
1,0,238950,238949
1,0,17374,17373
0,1,2564,2564
1,0,11070,11069
1,0,3613,3612
0,1,27655,27655
0,1,1910,1910
0,1,1469,1469
1,0,3353,3352
1,0,1715,1714
0,1,3153,3153
1,0,9511,9510
1,0,1999,1998
1,0,448,447
1,0,5842,5841
0,1,59558,59558
0,1,3696,3696
0,1,19560,19560
1,0,2331,2330
1,0,7391,7390
1,0,339,338
0,1,2001,2001
1,0,6297,6296
1,0,2064,2063
1,0,1327,1326
1,0,6691,6690
0,1,1080,1080
1,0,146553,146552
0,1,7456,7456
1,0,749,748
1,0,3726,3725
0,1,1155,1155
1,0,3021,3020
1,0,1350,1349
1,0,867,866
1,0,840,839
1,0,2891,2890
0,1,1647,1647
1,0,1281,1280
1,0,40873,40872
1,0,4283,4282
1,0,6892,6891
0,1,4447,4447
0,1,3288,3288
1,0,103077,103076
1,0,807,806
1,0,4910,4909
1,0,2841,2840
0,1,780,780
1,0,6263,6262
1,0,727,726
1,0,10180,10179
1,0,1073,1072
1,0,2007,2006
1,0,449430,449429
1,0,5831,5830
0,1,4119,4119
1,0,5262,5261
1,0,3565,3564
1,0,2574,2573
1,0,568,567
0,1,1596,1596
0,1,1043,1043
1,0,6251,6250
1,0,9655,9654
1,0,1263,1262
1,0,3898,3897
1,0,3071,3070
1,0,7981,7980
0,1,2563,2563
1,0,6802,6801
1,0,5594,5593
1,0,16791,16790
1,0,7578,7577
1,0,5683,5682
1,0,10675,10674
1,0,5277,5276
1,0,10119,10118
0,1,2039,2039
0,1,5390,5390
1,0,6679,6678
1,0,5921,5920
1,0,529,528
0,1,1442,1442
1,0,2494,2493
0,1,1333,1333
0,1,1901,1901
1,0,2683,2682
1,0,978,977
1,0,1069,1068
0,1,689,689
1,0,223661,223660
0,1,1104,1104
0,1,1390,1390
1,0,4495,4494
1,0,1088,1087
0,1,1376,1376
1,0,2092,2091
0,1,9268,9268
0,1,5508,5508
1,0,3636,3635
1,0,141918,141917
0,1,6240,6240
0,1,403141,403141
1,0,4232,4231
1,0,557086,557085
1,0,3683,3682
0,1,1947,1947
1,0,250555,250554
1,0,4754,4753
1,0,9096,9095
0,1,903,903
1,0,1839,1838
1,0,1661,1660
1,0,2490,2489
1,0,2419,2418
1,0,1771,1770
0,1,1415,1415
1,0,795,794
1,0,1491,1490
1,0,2585,2584
0,1,2009,2009
1,0,5234,5233
1,0,1348,1347
0,1,3825,3825
1,0,1979,1978
1,0,13027,13026
1,0,1694,1693
