IntrudersWon,GuardsWon,turnsIntruders,turnsGuards
1,0,580,579
1,0,13034,13033
1,0,2018,2017
1,0,1671,1670
1,0,3762,3761
1,0,5968,5967
1,0,4140,4139
1,0,7339,7338
1,0,4253,4252
1,0,573,572
1,0,116319,116318
1,0,3842,3841
1,0,12259,12258
1,0,276505,276504
1,0,6835,6834
1,0,8035,8034
1,0,536206,536205
1,0,77894,77893
1,0,1967,1966
1,0,5898,5897
0,1,6483,6483
1,0,1990,1989
1,0,4788,4787
1,0,5959,5958
0,1,1678,1678
1,0,4995,4994
1,0,2672,2671
1,0,4853,4852
0,1,1677,1677
1,0,7497,7496
1,0,1216,1215
1,0,1025,1024
1,0,3509,3508
0,1,8000,8000
1,0,3817,3816
1,0,287728,287727
1,0,264,263
1,0,2433,2432
1,0,12303,12302
1,0,5886,5885
1,0,4017,4016
1,0,8428,8427
1,0,3536,3535
1,0,3890,3889
1,0,543,542
0,1,3039,3039
1,0,4905,4904
1,0,6656,6655
1,0,1066,1065
1,0,2978,2977
1,0,4848,4847
0,1,2971,2971
1,0,1126,1125
1,0,1982,1981
1,0,836,835
1,0,6070,6069
1,0,8965,8964
0,1,676,676
1,0,46421,46420
0,1,1063,1063
1,0,1509,1508
1,0,12537,12536
1,0,3236,3235
1,0,78574,78573
1,0,5351,5350
0,1,3807,3807
0,1,12371,12371
1,0,533,532
0,1,7165,7165
0,1,5827,5827
1,0,190536,190535
1,0,870,869
1,0,354600,354599
1,0,9161,9160
1,0,1924,1923
0,1,15902,15902
0,1,186656,186656
1,0,4031,4030
1,0,1872,1871
1,0,4930,4929
1,0,6572,6571
1,0,9014,9013
1,0,1740,1739
1,0,556,555
1,0,13344,13343
0,1,742,742
1,0,301679,301678
1,0,1663,1662
1,0,1571,1570
1,0,6871,6870
0,1,1718,1718
1,0,784,783
1,0,103902,103901
1,0,1247,1246
1,0,8637,8636
1,0,1945,1944
1,0,4831,4830
1,0,3817,3816
0,1,1482,1482
1,0,158440,158439
0,1,4418,4418
1,0,4125,4124
0,1,5040,5040
1,0,7570,7569
1,0,313,312
1,0,1305,1304
1,0,1177,1176
1,0,64953,64952
1,0,5452,5451
1,0,10916,10915
1,0,1944,1943
1,0,17840,17839
1,0,2144,2143
1,0,1866,1865
1,0,5406,5405
1,0,1003,1002
1,0,3409,3408
1,0,383430,383429
1,0,494,493
1,0,4012,4011
1,0,2280,2279
1,0,6660,6659
1,0,12266,12265
0,1,2165,2165
1,0,264122,264121
0,1,7051,7051
1,0,1007637,1007636
0,1,1843,1843
1,0,4175,4174
0,1,6091,6091
1,0,8865,8864
1,0,8059,8058
1,0,2129,2128
1,0,1347,1346
1,0,6381,6380
0,1,5938,5938
1,0,1166,1165
1,0,392283,392282
1,0,2873,2872
1,0,1556,1555
0,1,1679,1679
1,0,170486,170485
0,1,2424,2424
0,1,1737,1737
1,0,1487,1486
1,0,3576,3575
0,1,888,888
0,1,2882,2882
1,0,7323,7322
1,0,2472,2471
1,0,41409,41408
1,0,467251,467250
0,1,1949,1949
1,0,597642,597641
1,0,159423,159422
1,0,764,763
1,0,838,837
1,0,76102,76101
1,0,1861,1860
0,1,3697,3697
0,1,2725,2725
1,0,1444,1443
0,1,7625,7625
1,0,2444,2443
1,0,2202,2201
1,0,1790,1789
1,0,9849,9848
1,0,733,732
1,0,1178,1177
1,0,1609,1608
0,1,2164,2164
0,1,1415,1415
1,0,2409,2408
1,0,1442,1441
0,1,6912,6912
1,0,777,776
0,1,3441,3441
1,0,1668,1667
1,0,479824,479823
1,0,4096,4095
1,0,4631,4630
1,0,2951,2950
1,0,2452,2451
0,1,6863,6863
1,0,311480,311479
1,0,100884,100883
0,1,2136,2136
1,0,3100,3099
1,0,987,986
1,0,1416,1415
1,0,324010,324009
1,0,2974,2973
1,0,140014,140013
0,1,1552,1552
1,0,6700,6699
1,0,182980,182979
1,0,67358,67357
1,0,8557,8556
1,0,3318,3317
1,0,10629,10628
