IntrudersWon,GuardsWon,turnsIntruders,turnsGuards
1,0,9618,9617
1,0,1394,1393
1,0,1105,1104
1,0,451329,451328
1,0,10533,10532
1,0,750,749
1,0,4463,4462
1,0,10607,10606
1,0,5301,5300
1,0,11535,11534
1,0,935,934
1,0,2182,2181
1,0,13755,13754
1,0,4302,4301
1,0,8169,8168
1,0,6591,6590
1,0,2292,2291
1,0,5596,5595
1,0,6119,6118
1,0,4608,4607
1,0,7301,7300
1,0,1269,1268
1,0,1219,1218
1,0,1735,1734
1,0,2273,2272
0,1,1220,1220
1,0,10661,10660
1,0,8880,8879
1,0,119937,119936
1,0,2045,2044
1,0,2802,2801
1,0,6736,6735
1,0,1484,1483
1,0,5083,5082
1,0,7425,7424
1,0,2110,2109
1,0,1202,1201
1,0,81765,81764
1,0,4095,4094
1,0,3133,3132
1,0,10463,10462
1,0,534366,534365
1,0,705,704
1,0,1292,1291
1,0,10878,10877
1,0,4220,4219
1,0,15657,15656
1,0,2111,2110
0,1,1947,1947
1,0,2933,2932
1,0,1984,1983
1,0,2230,2229
1,0,11785,11784
1,0,2555,2554
1,0,8355,8354
0,1,5785,5785
1,0,8213,8212
1,0,4317,4316
1,0,2785,2784
1,0,10870,10869
1,0,8388,8387
1,0,4649,4648
1,0,9724,9723
1,0,180428,180427
1,0,2278,2277
1,0,7521,7520
1,0,1595,1594
1,0,2602,2601
1,0,444,443
1,0,907,906
1,0,39267,39266
1,0,4969,4968
1,0,2272,2271
1,0,376599,376598
1,0,3996,3995
1,0,5300,5299
1,0,10304,10303
1,0,3151,3150
1,0,1112,1111
1,0,4864,4863
1,0,2718,2717
1,0,2303,2302
1,0,6618,6617
1,0,3070,3069
1,0,3284,3283
1,0,5775,5774
1,0,231627,231626
1,0,743,742
1,0,12211,12210
0,1,55232,55232
1,0,3344,3343
1,0,5480,5479
1,0,1366,1365
1,0,13129,13128
0,1,202474,202474
1,0,629,628
1,0,3466,3465
1,0,4504,4503
1,0,3702,3701
1,0,1923,1922
1,0,2744,2743
1,0,6296,6295
1,0,5601,5600
1,0,7271,7270
1,0,570759,570758
1,0,377148,377147
1,0,6782,6781
1,0,3886,3885
1,0,179467,179466
1,0,10851,10850
1,0,5376,5375
1,0,12835,12834
1,0,4669,4668
1,0,1877,1876
1,0,4857,4856
1,0,176034,176033
1,0,137945,137944
1,0,532861,532860
1,0,5127,5126
1,0,5522,5521
0,1,5359,5359
1,0,1692,1691
1,0,1353,1352
1,0,54634,54633
1,0,1448,1447
1,0,4159,4158
1,0,86557,86556
1,0,564,563
1,0,13762,13761
1,0,1281,1280
1,0,9155,9154
1,0,145648,145647
1,0,3414,3413
1,0,4429,4428
1,0,1315,1314
1,0,1529,1528
1,0,3043,3042
1,0,725,724
0,1,4253,4253
1,0,3156,3155
1,0,3848,3847
1,0,6317,6316
1,0,612,611
1,0,476,475
1,0,8646,8645
1,0,93351,93350
0,1,1539,1539
1,0,31546,31545
1,0,6452,6451
1,0,3975,3974
1,0,7627,7626
0,1,7549,7549
1,0,417,416
1,0,172335,172334
1,0,10169,10168
1,0,482,481
1,0,2827,2826
1,0,8796,8795
1,0,2329,2328
1,0,5446,5445
1,0,796462,796461
1,0,1686,1685
1,0,2885,2884
1,0,4260,4259
1,0,2002,2001
1,0,7215,7214
1,0,348195,348194
1,0,74334,74333
1,0,4681,4680
0,1,1282,1282
0,1,3071,3071
1,0,974,973
1,0,8964,8963
0,1,2674,2674
1,0,1737,1736
1,0,5026,5025
1,0,138595,138594
1,0,8821,8820
0,1,3264,3264
1,0,1908,1907
1,0,3191,3190
1,0,2284,2283
0,1,8174,8174
0,1,1930,1930
1,0,2125,2124
1,0,209875,209874
1,0,4486,4485
1,0,296450,296449
1,0,3909,3908
0,1,3006,3006
1,0,100559,100558
0,1,2211,2211
1,0,4354,4353
1,0,3326,3325
1,0,5597,5596
1,0,6637,6636
0,1,6617,6617
1,0,7643,7642
1,0,1408,1407
1,0,2262,2261
