IntrudersWon,GuardsWon,turnsIntruders,turnsGuards
1,0,88398,88397
1,0,2412,2411
1,0,587,586
1,0,676,675
0,1,10311,10311
1,0,354742,354741
1,0,1057,1056
1,0,87805,87804
0,1,4222,4222
1,0,1997,1996
0,1,993,993
1,0,5397,5396
1,0,274,273
0,1,1187,1187
1,0,1263,1262
0,1,9241,9241
1,0,32683,32682
1,0,3534,3533
0,1,1107,1107
1,0,28667,28666
1,0,5689,5688
1,0,7760,7759
1,0,7406,7405
1,0,8534,8533
1,0,12577,12576
1,0,10467,10466
1,0,696,695
0,1,1384,1384
1,0,9061,9060
0,1,1181,1181
1,0,96178,96177
0,1,3684,3684
1,0,216577,216576
1,0,755,754
1,0,4896,4895
1,0,1563,1562
1,0,3182,3181
0,1,1625,1625
1,0,2504,2503
1,0,1048,1047
1,0,66860,66859
1,0,5671,5670
1,0,3624,3623
1,0,30097,30096
0,1,1297,1297
1,0,4174,4173
0,1,1978,1978
1,0,2613,2612
1,0,5593,5592
1,0,896,895
1,0,3221,3220
1,0,5451,5450
1,0,2173,2172
1,0,6521,6520
1,0,133145,133144
1,0,4361,4360
1,0,5665,5664
0,1,2364,2364
1,0,573,572
1,0,1129,1128
1,0,53885,53884
0,1,3461,3461
0,1,865,865
1,0,4900,4899
0,1,134512,134512
0,1,508,508
0,1,1220,1220
1,0,4839,4838
1,0,3690,3689
1,0,244111,244110
1,0,1908,1907
1,0,2332,2331
0,1,4556,4556
1,0,293929,293928
0,1,4120,4120
1,0,884,883
0,1,1595,1595
1,0,7373,7372
1,0,1790,1789
1,0,617,616
0,1,1923,1923
0,1,2368,2368
0,1,1635,1635
1,0,1655,1654
1,0,881,880
1,0,347061,347060
1,0,5259,5258
1,0,5056,5055
1,0,1969,1968
1,0,109527,109526
1,0,695,694
0,1,3475,3475
1,0,4051,4050
1,0,20492,20491
1,0,3253,3252
1,0,1603,1602
1,0,2538,2537
1,0,2365,2364
1,0,784,783
1,0,3107,3106
1,0,3663,3662
1,0,2640,2639
1,0,639,638
1,0,461408,461407
0,1,8516,8516
1,0,2205,2204
1,0,5940,5939
1,0,7826,7825
1,0,4005,4004
1,0,5218,5217
0,1,1045,1045
1,0,2269,2268
1,0,6441,6440
1,0,5238,5237
1,0,1803,1802
1,0,717,716
0,1,2381,2381
1,0,651,650
1,0,5315,5314
1,0,494,493
0,1,16120,16120
1,0,2752,2751
1,0,646,645
1,0,763,762
1,0,3416,3415
1,0,7734,7733
1,0,1081,1080
1,0,2500,2499
0,1,1213,1213
1,0,7391,7390
1,0,1471,1470
0,1,9265,9265
1,0,1370,1369
1,0,2900,2899
1,0,74553,74552
1,0,4674,4673
0,1,29031,29031
1,0,446,445
1,0,4139,4138
1,0,2704,2703
1,0,10487,10486
1,0,790,789
1,0,8341,8340
1,0,2439,2438
1,0,2879,2878
0,1,690,690
1,0,3116,3115
1,0,4005,4004
1,0,6392,6391
1,0,1605,1604
1,0,1067,1066
1,0,2110,2109
1,0,5286,5285
1,0,920,919
1,0,5992,5991
1,0,455,454
1,0,2393,2392
1,0,215761,215760
1,0,2231,2230
1,0,8499,8498
1,0,3394,3393
1,0,75372,75371
1,0,6191,6190
1,0,1520,1519
1,0,399,398
1,0,5081,5080
1,0,3587,3586
1,0,177630,177629
0,1,1449,1449
1,0,1610,1609
1,0,311,310
1,0,674980,674979
0,1,453,453
0,1,984,984
0,1,10259,10259
1,0,3222,3221
1,0,2888,2887
1,0,2591,2590
1,0,4714,4713
1,0,2128,2127
0,1,3609,3609
1,0,4075,4074
0,1,3149,3149
1,0,100253,100252
1,0,2347,2346
1,0,1038,1037
1,0,2110,2109
1,0,1988,1987
1,0,8759,8758
1,0,2981,2980
1,0,2261,2260
0,1,5475,5475
0,1,242707,242707
1,0,937,936
1,0,10316,10315
1,0,2674,2673
1,0,1325,1324
1,0,259873,259872
1,0,6574,6573
1,0,18886,18885
