0,1,8722,8722
0,1,74881,74881
0,1,21342,21342
1,0,14051,14050
0,1,12092,12092
0,1,846,846
0,1,11736,11736
1,0,4222,4221
0,1,1870,1870
0,1,17220,17220
0,1,20791,20791
0,1,28974,28974
1,0,5235,5234
0,1,11728,11728
0,1,59734,59734
0,1,31049,31049
0,1,5517,5517
0,1,10958,10958
0,1,876,876
1,0,14018,14017
0,1,7714,7714
0,1,14434,14434
0,1,17402,17402
0,1,67722,67722
0,1,716,716
1,0,4012,4011
1,0,4807,4806
0,1,6217,6217
0,1,2539,2539
0,1,17715,17715
1,0,12225,12224
0,1,58523,58523
0,1,29076,29076
0,1,5727,5727
1,0,1772,1771
0,1,17718,17718
0,1,26519,26519
1,0,38492,38491
0,1,13170,13170
0,1,11250,11250
0,1,5162,5162
1,0,5216,5215
1,0,54317,54316
0,1,1844,1844
0,1,9360,9360
0,1,14806,14806
0,1,8288,8288
1,0,35137,35136
1,0,36350,36349
1,0,18604,18603
1,0,11887,11886
1,0,28031,28030
1,0,25605,25604
0,1,62120,62120
1,0,9681,9680
0,1,45705,45705
0,1,3161,3161
0,1,40721,40721
0,1,800,800
1,0,15767,15766
1,0,412,411
0,1,2278,2278
1,0,719,718
1,0,24895,24894
1,0,9947,9946
0,1,4908,4908
1,0,11885,11884
0,1,3009,3009
1,0,1041,1040
0,1,14938,14938
0,1,23515,23515
0,1,51590,51590
1,0,60207,60206
0,1,2166,2166
1,0,1175,1174
0,1,7545,7545
1,0,9795,9794
1,0,56442,56441
0,1,2814,2814
0,1,14341,14341
1,0,27264,27263
0,1,5592,5592
0,1,29345,29345
1,0,45477,45476
0,1,9031,9031
0,1,257,257
0,1,53301,53301
1,0,48389,48388
1,0,4194,4193
1,0,4718,4717
0,1,15931,15931
1,0,32531,32530
0,1,33864,33864
1,0,8798,8797
1,0,9543,9542
1,0,8409,8408
1,0,51998,51997
1,0,13112,13111
0,1,30928,30928
0,1,2301,2301
0,1,39874,39874
1,0,1317,1316
1,0,1761,1760
0,1,16257,16257
0,1,27358,27358
1,0,528,527
1,0,10612,10611
1,0,3698,3697
0,1,5030,5030
1,0,19286,19285
0,1,5845,5845
0,1,3287,3287
1,0,7222,7221
0,1,9070,9070
0,1,4978,4978
1,0,14429,14428
0,1,1170,1170
1,0,10159,10158
1,0,7351,7350
1,0,628,627
1,0,70088,70087
0,1,4789,4789
1,0,8009,8008
1,0,30840,30839
1,0,38886,38885
0,1,16918,16918
0,1,24239,24239
1,0,6540,6539
0,1,7195,7195
1,0,5279,5278
0,1,2308,2308
0,1,31222,31222
0,1,2480,2480
0,1,552,552
0,1,5560,5560
1,0,9199,9198
0,1,701,701
0,1,8689,8689
0,1,1971,1971
0,1,6885,6885
1,0,26337,26336
0,1,56931,56931
0,1,6473,6473
1,0,45671,45670
0,1,10933,10933
0,1,3350,3350
1,0,1555,1554
0,1,24979,24979
0,1,4404,4404
1,0,1593,1592
0,1,6232,6232
1,0,3664,3663
0,1,2353,2353
0,1,4335,4335
0,1,2140,2140
1,0,31482,31481
0,1,10119,10119
0,1,11916,11916
1,0,30085,30084
0,1,2822,2822
1,0,17830,17829
1,0,19010,19009
0,1,30627,30627
1,0,31389,31388
1,0,813,812
0,1,21466,21466
0,1,51365,51365
1,0,3059,3058
1,0,2655,2654
0,1,15822,15822
1,0,30160,30159
1,0,6011,6010
1,0,16206,16205
0,1,32918,32918
0,1,1216,1216
0,1,8494,8494
0,1,846,846
0,1,22429,22429
1,0,4294,4293
0,1,4372,4372
1,0,7381,7380
0,1,18563,18563
0,1,2851,2851
0,1,68733,68733
0,1,24040,24040
1,0,22665,22664
0,1,707,707
1,0,5779,5778
0,1,18732,18732
1,0,18647,18646
1,0,35628,35627
1,0,5924,5923
1,0,8872,8871
0,1,348,348
1,0,12455,12454
0,1,13032,13032
1,0,92108,92107
0,1,3082,3082
0,1,21345,21345
1,0,2140,2139
0,1,465,465
1,0,11437,11436
0,1,11449,11449
0,1,4541,4541
0,1,11413,11413
0,1,3065,3065
0,1,7997,7997
0,1,902,902
0,1,4504,4504
0,1,5425,5425
1,0,13672,13671
0,1,24444,24444
0,1,56525,56525
0,1,1741,1741
0,1,26323,26323
1,0,11094,11093
0,1,4772,4772
1,0,4977,4976
1,0,9015,9014
1,0,5496,5495
0,1,3945,3945
1,0,5757,5756
1,0,11620,11619
1,0,7618,7617
1,0,30241,30240
1,0,2674,2673
0,1,75664,75664
0,1,330,330
0,1,45224,45224
0,1,49116,49116
0,1,24648,24648
0,1,28220,28220
0,1,11469,11469
0,1,23112,23112
0,1,5418,5418
1,0,10168,10167
0,1,11176,11176
0,1,7843,7843
0,1,11120,11120
0,1,4061,4061
1,0,8039,8038
1,0,18547,18546
1,0,25546,25545
0,1,51819,51819
0,1,960,960
0,1,12621,12621
0,1,21440,21440
1,0,872,871
0,1,19301,19301
0,1,1862,1862
0,1,340,340
0,1,6366,6366
0,1,1473,1473
0,1,30543,30543
0,1,4021,4021
1,0,8625,8624
1,0,76661,76660
0,1,16916,16916
1,0,18081,18080
0,1,13441,13441
0,1,12874,12874
1,0,9325,9324
1,0,7239,7238
0,1,14363,14363
0,1,18595,18595
1,0,7498,7497
0,1,2541,2541
0,1,2425,2425
1,0,634,633
1,0,4220,4219
0,1,23042,23042
0,1,20331,20331
1,0,7884,7883
1,0,8663,8662
0,1,14600,14600
0,1,913,913
0,1,5468,5468
0,1,31457,31457
0,1,8937,8937
0,1,10693,10693
0,1,3818,3818
0,1,2360,2360
1,0,38872,38871
0,1,19439,19439
0,1,5361,5361
0,1,671,671
1,0,23932,23931
0,1,3513,3513
1,0,4749,4748
0,1,6376,6376
0,1,1391,1391
0,1,1503,1503
0,1,4973,4973
1,0,7698,7697
0,1,1052,1052
0,1,6187,6187
1,0,6729,6728
1,0,11829,11828
0,1,3543,3543
0,1,24445,24445
0,1,10349,10349
0,1,1115,1115
0,1,17298,17298
0,1,1793,1793
0,1,1519,1519
0,1,2731,2731
0,1,9859,9859
1,0,35685,35684
1,0,8167,8166
1,0,487,486
1,0,19955,19954
0,1,6560,6560
0,1,41832,41832
0,1,42499,42499
0,1,7824,7824
0,1,9512,9512
1,0,27914,27913
0,1,21817,21817
0,1,5474,5474
1,0,13177,13176
0,1,4582,4582
0,1,3530,3530
0,1,869,869
1,0,20655,20654
0,1,9829,9829
0,1,10794,10794
0,1,24433,24433
0,1,1527,1527
0,1,1088,1088
0,1,1277,1277
1,0,12372,12371
0,1,3426,3426
0,1,408,408
0,1,16602,16602
0,1,5427,5427
0,1,29310,29310
0,1,8182,8182
0,1,31956,31956
0,1,25487,25487
1,0,27825,27824
0,1,27825,27825
0,1,1957,1957
0,1,23723,23723
1,0,5833,5832
0,1,10520,10520
0,1,13097,13097
0,1,36660,36660
0,1,21443,21443
0,1,11099,11099
1,0,13413,13412
1,0,33701,33700
1,0,76369,76368
0,1,790,790
1,0,8487,8486
0,1,22332,22332
1,0,13463,13462
0,1,16014,16014
0,1,27569,27569
0,1,46541,46541
1,0,40844,40843
0,1,87420,87420
0,1,20534,20534
0,1,6542,6542
0,1,6217,6217
1,0,5762,5761
0,1,7144,7144
1,0,28362,28361
1,0,43319,43318
0,1,5801,5801
0,1,5274,5274
1,0,5162,5161
0,1,11649,11649
1,0,11976,11975
1,0,9976,9975
0,1,4448,4448
0,1,7112,7112
1,0,3289,3288
0,1,970,970
0,1,439,439
0,1,5683,5683
0,1,1012,1012
0,1,1395,1395
0,1,90125,90125
0,1,2876,2876
0,1,8474,8474
0,1,88829,88829
0,1,11313,11313
1,0,4444,4443
0,1,5395,5395
1,0,12715,12714
0,1,9117,9117
0,1,23159,23159
0,1,17578,17578
1,0,40504,40503
0,1,6064,6064
0,1,2872,2872
0,1,10512,10512
0,1,4799,4799
